"Model","Variable","Dependent","ImportanceScaled","ImportanceRaw"
"Neural Networks","cokedang","likeskl",6.45308037021316,0.0997388411866372
"Neural Networks","candang","likeskl",27.243274876045,0.356085259075585
"Neural Networks","excite","likeskl",20.7595842033188,0.276140317810744
"Neural Networks","helpadv","likeskl",9.24408206198716,0.134152337693732
"Neural Networks","stupid","likeskl",28.8338049491314,0.375696748841396
"Neural Networks","sellpun","likeskl",18.9168788337545,0.253419466373783
"Neural Networks","legalhi","likeskl",18.8448009431168,0.252530734473328
"Neural Networks","cigok","likeskl",21.675200925876,0.287430018199113
"Neural Networks","alcok","likeskl",14.1585190181525,0.19474813006598
"Neural Networks","drunkok","likeskl",16.3248556980073,0.221459407233995
"Neural Networks","glueok","likeskl",14.1741230857749,0.194940530711311
"Neural Networks","canok","likeskl",10.8325223186492,0.153738059689343
"Neural Networks","cokeok","likeskl",30.9148423109757,0.401356271798345
"Neural Networks","hpbclass","likeskl",33.8983679197332,0.438143618942711
"Neural Networks","hpcclass","likeskl",16.7695903042174,0.226943055940659
"Neural Networks","youth","likeskl",8.83630111138747,0.129124333461243
"Neural Networks","drama","likeskl",4.07918832211001,0.0704683731871387
"Neural Networks","sports","likeskl",13.0655014317956,0.181271048700839
"Neural Networks","comp","likeskl",1.82919745958458,0.0427256265894835
"Neural Networks","noclubs","likeskl",8.55522027921302,0.125658561919522
"Neural Networks","clubdk","likeskl",10.5884685754218,0.150728838066563
"Neural Networks","closefr","likeskl",19.2075403581973,0.25700336938095
"Neural Networks","agefr","likeskl",14.5168548123795,0.199166467625339
"Neural Networks","dgclass","likeskl",9.11129244228258,0.132515020479862
"Neural Networks","smclass","likeskl",20.3536257971128,0.271134785841641
"Neural Networks","alrisk","likeskl",32.2334610995634,0.417615052009406
"Neural Networks","drgrisk","likeskl",27.6885045966237,0.36157501262147
"Neural Networks","allife","likeskl",74.0939605312138,0.933761693991799
"Neural Networks","drglife","likeskl",58.9758936304876,0.747353515159247
"Neural Networks","aldecs","likeskl",44.1424191851641,0.564454406743534
"Neural Networks","drgdecs","likeskl",100,1.25318729713612
"Neural Networks","peerviews","likeskl",75.7518855172393,0.954204173795294
"Neural Networks","schdrg","likeskl",8.40322533438872,0.123784439980354
"Neural Networks","schsm","likeskl",24.0413201993813,0.316604646646718
"Neural Networks","schact","likeskl",24.7878497223609,0.32580947486564
"Neural Networks","sayno","likeskl",25.121241298514,0.32992024623323
"Neural Networks","subsinfo","likeskl",41.6390170244101,0.533587058375787
"Neural Networks","avoidal","likeskl",36.0963192677461,0.465244710017124
"Neural Networks","avoiddrg","likeskl",41.669699488441,0.533965378056447
"Neural Networks","Truant1","likeskl",29.4244942547596,0.382980042296906
"Neural Networks","somatic","likeskl",34.2392220544312,0.442346404848728
"Neural Networks","shares","likeskl",48.2943564459161,0.615648456120747
"Neural Networks","tantrum","likeskl",15.5557526821649,0.211976244243698
"Neural Networks","loner","likeskl",7.03358574554203,0.106896565155458
"Neural Networks","fights","likeskl",16.43446633396,0.222810923877147
"Neural Networks","kind","likeskl",73.5063242371389,0.926516044656225
"Neural Networks","lies","likeskl",21.4798366092578,0.28502114498081
"Neural Networks","bullied","likeskl",29.0853021572465,0.37879774957476
"Neural Networks","helpout","likeskl",55.245377296423,0.70135565309762
"Neural Networks","steals","likeskl",27.1027091659308,0.354352061425332
"Neural Networks","oldbest","likeskl",43.8362024218094,0.560678705156831
"Neural Networks","afraid","likeskl",14.1996913863595,0.195255791940087
"Neural Networks","wwbands","likeskl",31.7737375870856,0.411946587695137
"Neural Networks","famstat2","likeskl",29.3733927621445,0.382349952733434
"Neural Networks","mumscore2","likeskl",13.5015138017386,0.186647150841625
"Neural Networks","dadscore2","likeskl",10.394206724644,0.148333558428108
"Neural Networks","seefrnds2","likeskl",7.68233150660085,0.114895703976474
"Neural Networks","music2","likeskl",3.38201445103906,0.0618721080370134
"Neural Networks","films2","likeskl",12.4344728332211,0.173490365322206
"Neural Networks","socialnet2","likeskl",5.43060555724225,0.0871315634811188
